year,constituency,no_of_registered_electors,no_of_rejected_votes,no_of_spoilt_ballot_papers
1955,Bukit Panjang,8012,66,7
1955,Bukit Timah,9173,59,8
1955,Cairnhill,13528,65,12
1955,Changi,11239,70,6
1955,Farrer Park,12242,93,14
1955,Geylang,16604,88,16
1955,Havelock,12835,61,7
1955,Kampong Kapor,13815,144,4
1955,Katong,22196,120,14
1955,Pasir Panjang,13812,60,6
1955,Paya Lebar,12827,99,8
1955,Punggol-Tampines,6628,45,4
1955,Queenstown,7015,51,3
1955,Rochore,12073,81,3
1955,Seletar,9402,56,4
1955,Sembawang,10675,66,25
1955,Serangoon,8402,53,5
1955,Southern Islands,3548,38,4
1955,Stamford,13207,76,10
1955,Tanglin,16177,88,8
1955,Tanjong Pagar,13430,40,5
1955,Telok Ayer,11547,76,4
1955,Tiong Bahru,12664,73,6
1955,Ulu Bedok,16903,92,18
1955,Whampoa,12345,70,14
1959,Aljunied,13255,173,7
1959,Anson,9921,102,3
1959,Bras Basah,11193,114,7
1959,Bukit Merah,11286,125,0
1959,Bukit Panjang,11984,89,5
1959,Bukit Timah,11285,92,9
1959,Cairnhill,12239,105,7
1959,Changi,11199,82,1
1959,Choa Chu Kang,6889,52,0
1959,Crawford,12031,112,15
1959,Delta,14954,171,8
1959,Farrer Park,10293,135,0
1959,Geylang East,15562,194,11
1959,Geylang Serai,14447,109,6
1959,Geylang West,15528,351,8
1959,Havelock,15919,142,41
1959,Hong Lim,12667,134,4
1959,Jalan Besar,13877,133,12
1959,Jalan Kayu,8690,78,2
1959,Joo Chiat,15257,297,5
1959,Jurong,7176,106,3
1959,Kallang,12936,175,3
1959,Kampong Glam,10934,103,6
1959,Kampong Kapor,12736,291,12
1959,Kampong Kembangan,13025,119,2
1959,Kreta Ayer,14173,298,5
1959,Moulmein,10095,100,0
1959,Mountbatten,10212,65,4
1959,Nee Soon,8694,94,0
1959,Pasir Panjang,6631,60,0
1959,Paya Lebar,12089,102,2
1959,Punggol,9893,127,1
1959,Queenstown,10634,90,6
1959,River Valley,10594,150,3
1959,Rochore,12436,146,5
1959,Sembawang,8859,56,0
1959,Sepoy Lines,10347,87,4
1959,Serangoon Gardens,8631,80,3
1959,Siglap,14693,60,57
1959,Southern Islands,5325,44,0
1959,Stamford,12392,117,5
1959,Tampines,11468,151,1
1959,Tanglin,9127,95,1
1959,Tanjong Pagar,11939,148,3
1959,Telok Ayer,13998,161,5
1959,Telok Blangah,13202,140,7
1959,Thomson,10067,98,0
1959,Tiong Bahru,12151,122,17
1959,Toa Payoh,12551,249,0
1959,Ulu Pandan,11017,104,4
1959,Upper Serangoon,11279,122,0
1963,Aljunied,16152,132,3
1963,Anson,9192,70,4
1963,Bras Basah,10678,91,1
1963,Bukit Merah,12225,110,7
1963,Bukit Panjang,12997,132,0
1963,Bukit Timah,12502,152,0
1963,Cairnhill,12340,92,7
1963,Changi,11866,105,4
1963,Choa Chu Kang,8198,76,2
1963,Crawford,10949,110,3
1963,Delta,14037,112,7
1963,Farrer Park,10189,74,3
1963,Geylang East,16014,147,1
1963,Geylang Serai,15302,423,2
1963,Geylang West,15386,162,4
1963,Havelock,15159,176,10
1963,Hong Lim,12003,73,6
1963,Jalan Besar,13764,201,12
1963,Jalan Kayu,9164,61,0
1963,Joo Chiat,14966,99,3
1963,Jurong,7611,96,0
1963,Kallang,16974,151,2
1963,Kampong Glam,10186,108,8
1963,Kampong Kapor,11672,106,11
1963,Kampong Kembangan,15787,163,3
1963,Kreta Ayer,13103,166,10
1963,Moulmein,10670,79,5
1963,Mountbatten,16843,142,4
1963,Nee Soon,10064,97,2
1963,Pasir Panjang,6721,54,1
1963,Paya Lebar,13544,119,3
1963,Punggol,10294,59,0
1963,Queenstown,16133,127,13
1963,River Valley,10532,104,4
1963,Rochore,11698,109,3
1963,Sembawang,9329,49,0
1963,Sepoy Lines,10046,81,2
1963,Serangoon Gardens,8765,71,8
1963,Siglap,15915,90,3
1963,Southern Islands,5236,60,0
1963,Stamford,11628,99,4
1963,Tampines,13137,123,3
1963,Tanglin,9239,70,4
1963,Tanjong Pagar,11395,121,5
1963,Telok Ayer,13219,152,6
1963,Telok Blangah,13263,123,4
1963,Thomson,11336,119,0
1963,Tiong Bahru,12534,84,2
1963,Toa Payoh,13394,152,7
1963,Ulu Pandan,11866,126,0
1963,Upper Serangoon,12433,95,8
1968,Alexandra,13317,na,na
1968,Aljunied,14472,na,na
1968,Anson,8764,na,na
1968,Bras Basah,9718,na,na
1968,Bukit Ho Swee,17735,na,na
1968,Bukit Merah,19319,na,na
1968,Bukit Panjang,17893,na,na
1968,Bukit Timah,16769,na,na
1968,Cairnhill,12287,na,na
1968,Changi,15594,na,na
1968,Chua Chu Kang,12879,na,na
1968,Crawford,7190,na,na
1968,Delta,17715,na,na
1968,Farrer Park,10290,192,1
1968,Geylang East,16185,na,na
1968,Geylang Serai,12741,308,7
1968,Geylang West,14609,na,na
1968,Havelock,11049,na,na
1968,Hong Lim,10388,na,na
1968,Jalan Besar,11400,na,na
1968,Jalan Kayu,12878,334,2
1968,Joo Chiat,12335,na,na
1968,Jurong,11445,na,na
1968,Kallang,9309,na,na
1968,Kampong Chai Chee,17636,na,na
1968,Kampong Glam,9484,na,na
1968,Kampong Kapor,10818,na,na
1968,Kampong Kembangan,15862,na,na
1968,Kampong Ubi,13434,329,4
1968,Katong,14872,na,na
1968,Kreta Ayer,11575,na,na
1968,MacPherson,13099,na,na
1968,Moulmein,11888,259,3
1968,Mountbatten,12760,na,na
1968,Nee Soon,12846,410,5
1968,Pasir Panjang,12394,na,na
1968,Paya Lebar,17573,na,na
1968,Potong Pasir,11782,na,na
1968,Punggol,12277,na,na
1968,Queenstown,16193,na,na
1968,River Valley,10865,na,na
1968,Rochore,12222,na,na
1968,Sembawang,11220,na,na
1968,Sepoy Lines,11409,na,na
1968,Serangoon Gardens,9454,na,na
1968,Siglap,11627,na,na
1968,Stamford,9919,na,na
1968,Tampines,12703,na,na
1968,Tanglin,10760,na,na
1968,Tanjong Pagar,10806,226,10
1968,Telok Ayer,11721,na,na
1968,Telok Blangah,14785,na,na
1968,Thomson,15911,na,na
1968,Tiong Bahru,16532,na,na
1968,Toa Payoh,19143,na,na
1968,Ulu Pandan,13289,na,na
1968,Upper Serangoon,13373,na,na
1968,Whampoa,12854,na,na
1972,Alexandra,24499,272,11
1972,Aljunied,19278,268,6
1972,Anson,8171,137,2
1972,Boon Teck,15958,314,8
1972,Bras Basah,8323,na,na
1972,Bukit Batok,14563,387,16
1972,Bukit Ho Swee,12212,194,5
1972,Bukit Merah,13960,221,8
1972,Bukit Panjang,15461,327,6
1972,Bukit Timah,15476,409,4
1972,Cairnhill,11952,218,13
1972,Changi,18297,318,5
1972,Chua Chu Kang,15669,467,8
1972,Crawford,9285,205,5
1972,Delta,13781,205,7
1972,Farrer Park,12707,197,8
1972,Geylang East,16580,287,11
1972,Geylang Serai,13837,279,4
1972,Geylang West,11653,240,12
1972,Havelock,10849,202,12
1972,Henderson,9431,211,12
1972,Hong Lim,7486,148,3
1972,Jalan Besar,10310,220,0
1972,Jalan Kayu,14982,210,3
1972,Joo Chiat,15684,272,9
1972,Jurong,15348,484,4
1972,Kallang,17232,386,0
1972,Kampong Chai Chee,15564,270,3
1972,Kampong Glam,7542,na,na
1972,Kampong Kapor,9361,220,2
1972,Kampong Kembangan,18480,236,8
1972,Kampong Ubi,15431,243,7
1972,Katong,16766,na,na
1972,Kim Keat,14640,186,7
1972,Kim Seng,12893,226,7
1972,Kreta Ayer,9627,na,na
1972,Kuo Chuan,15142,296,4
1972,Leng Kee,17158,240,4
1972,MacPherson,15637,238,5
1972,Moulmein,11144,194,8
1972,Mountbatten,14396,na,na
1972,Nee Soon,17061,403,1
1972,Pasir Panjang,13964,272,9
1972,Paya Lebar,19102,332,5
1972,Potong Pasir,13103,254,2
1972,Punggol,15303,329,4
1972,Queenstown,18458,223,4
1972,River Valley,12189,na,na
1972,Rochore,11589,258,6
1972,Sembawang,12217,307,0
1972,Sepoy Lines,12308,229,3
1972,Serangoon Gardens,13836,na,na
1972,Siglap,16091,275,1
1972,Stamford,8212,200,1
1972,Tampines,15302,436,8
1972,Tanglin,12777,na,na
1972,Tanjong Pagar,9946,172,12
1972,Telok Ayer,10547,184,11
1972,Telok Blangah,14624,196,10
1972,Thomson,18702,377,6
1972,Tiong Bahru,17394,251,0
1972,Toa Payoh,15742,283,7
1972,Ulu Pandan,14485,257,6
1972,Upper Serangoon,16621,331,7
1972,Whampoa,12044,233,2
1976,Alexandra,17367,257,0
1976,Aljunied,17461,312,0
1976,Ang Mo Kio,14264,na,na
1976,Anson,12755,na,na
1976,Bedok,11310,243,2
1976,Boon Lay,15496,353,1
1976,Boon Teck,18872,441,4
1976,Braddell Heights,14031,na,na
1976,Brickworks,14062,216,0
1976,Bukit Batok,15650,465,4
1976,Bukit Ho Swee,13686,307,1
1976,Bukit Merah,17538,267,17
1976,Bukit Panjang,18906,438,6
1976,Bukit Timah,13132,na,na
1976,Buona Vista,16267,399,3
1976,Cairnhill,13419,251,6
1976,Changi,17827,393,6
1976,Chua Chu Kang,18136,609,2
1976,Delta,14821,327,1
1976,Farrer Park,11949,na,na
1976,Geylang East,14738,283,20
1976,Geylang Serai,14178,308,2
1976,Geylang West,18101,609,7
1976,Havelock,12492,267,0
1976,Henderson,18182,349,7
1976,Jalan Besar,14933,na,na
1976,Jalan Kayu,15447,275,0
1976,Joo Chiat,14241,283,5
1976,Jurong,18310,na,na
1976,Kallang,17282,426,0
1976,Kampong Chai Chee,19126,338,3
1976,Kampong Glam,18439,432,4
1976,Kampong Kembangan,13720,218,3
1976,Kampong Ubi,20811,420,12
1976,Katong,15861,395,11
1976,Khe Bong,15677,332,7
1976,Kim Keat,19700,356,0
1976,Kim Seng,14860,313,0
1976,Kolam Ayer,19371,482,0
1976,Kreta Ayer,12199,na,na
1976,Kuo Chuan,16990,311,5
1976,Leng Kee,18475,357,16
1976,MacPherson,18716,na,na
1976,Marine Parade,19528,439,6
1976,Moulmein,12654,243,28
1976,Mountbatten,15440,417,7
1976,Nee Soon,16143,na,na
1976,Pasir Panjang,12142,215,3
1976,Paya Lebar,15648,373,4
1976,Potong Pasir,14167,336,6
1976,Punggol,20444,449,4
1976,Queenstown,16926,na,na
1976,Radin Mas,18418,370,2
1976,River Valley,17022,377,0
1976,Rochore,15424,351,13
1976,Sembawang,17695,421,10
1976,Serangoon Gardens,12115,170,3
1976,Siglap,13849,326,10
1976,Tampines,15559,na,na
1976,Tanglin,13520,na,na
1976,Tanjong Pagar,12147,251,4
1976,Telok Ayer,15515,na,na
1976,Telok Blangah,14225,na,na
1976,Thomson,15609,397,7
1976,Tiong Bahru,19589,393,6
1976,Toa Payoh,13933,272,3
1976,Ulu Pandan,16343,na,na
